Qual_ID,Short,Long
215,Individual Play,"Player created the chance to shoot by himself, not assisted. For example he dribbled to create space for himself and shot."
216,2nd related event ID,"If there was a 2nd assist, i.e a pass to create the opportunity for the player making the assist. MLS and German Bundesliga 1 & 2."
217,2nd assisted,Indicates that this shot had a significant pass to create the opportunity for the pass which led to a goal
218,2nd assist,Pass was deemed a 2nd assist - created the opportunity for another player to assist a goal
219,Players on both posts,Assigned to event 6 indicating there were defensive players on both posts when a corner was taken
220,Player on near post,Assigned to event 6 indicating there was a defensive player on only the near post when a corner was taken
221,Player on far post,Assigned to event 6 indicating there was a defensive player on only the far post when corner was taken
222,No players on posts,Assigned to event 6 indicating there were no defensive players on either post when a corner was taken
223,In-swinger,Corner was crossed into the box swerving towards the goal
224,Out-swinger,Corner was crossed into the  box swerving away from the goal
225,Straight,Corner was crossed into the box with a straight ball flight
226,Suspended,Game is has not finished but is suspended
227,Resume,Game has resumed after being suspended mid-way through on a previous date
228,Own shot blocked,Player blocks an attacking shot  unintentionally from their teammate
229,Post-match complete,Opta post match quality control has been completed on this match
